origin,destination,days_to_departure,time_of_day,user_type,weather_score,is_holiday,competitor_price,time_of_day_encoded,user_type_encoded,price
HYD,BLR,57,Night,Leisure,1.165841993213262,0,8772,3,0,17298
MAA,MAA,44,Night,Business,0.8868035457576499,0,3718,3,1,6343
BLR,DEL,35,Afternoon,Business,1.040666173859127,1,8203,1,1,19379
MAA,MAA,1,Afternoon,Business,1.2889474178587568,0,8631,1,1,31268
MAA,BOM,52,Afternoon,Leisure,1.2388865023990943,0,5039,1,0,11938
BOM,HYD,85,Morning,Business,1.27159925685902,0,6933,0,1,9376
BLR,HYD,70,Evening,Business,0.9316818391171429,0,8453,2,1,12056
BLR,BOM,37,Night,Leisure,1.172156863537997,0,5102,3,0,11966
BLR,BLR,65,Afternoon,Business,1.0719387710562087,0,6204,1,1,9256
MAA,BLR,51,Evening,Leisure,0.7496410498373446,0,8564,2,0,11195
HYD,HYD,1,Night,Leisure,1.1943882334942393,0,9096,3,0,30169
BLR,HYD,21,Evening,Leisure,1.1062607658144188,1,7148,2,0,23168
MAA,DEL,53,Morning,Leisure,0.81935041570916,0,4605,0,0,6571
BOM,BLR,16,Morning,Leisure,0.7478431344576768,0,9236,0,0,17255
HYD,BOM,61,Morning,Business,1.2022132783889985,0,9312,0,1,16004
BOM,BLR,54,Afternoon,Business,0.7473410976947206,0,6911,1,1,8445
HYD,DEL,40,Night,Leisure,0.7548123192198619,0,5988,3,0,8697
MAA,HYD,26,Morning,Leisure,0.9564449727425892,1,4116,0,0,11820
DEL,HYD,80,Afternoon,Business,0.7808786970516862,0,7821,1,1,7029
HYD,DEL,65,Afternoon,Business,1.2482017584656315,0,5918,1,1,11959
BOM,BOM,74,Afternoon,Leisure,0.982170361757942,0,3527,1,0,4394
MAA,HYD,64,Afternoon,Business,1.041490588392743,0,6555,1,1,9538
HYD,MAA,43,Morning,Business,1.2568636536868525,0,8590,0,1,19887
DEL,HYD,17,Afternoon,Leisure,1.0181579353830092,0,3515,1,0,8403
DEL,MAA,59,Morning,Business,0.9121546875743911,0,6848,0,1,11087
BLR,DEL,23,Morning,Business,1.178293063489499,0,3832,0,1,10933
BLR,DEL,7,Afternoon,Business,0.9657101184851264,0,8078,1,1,22542
BOM,HYD,44,Morning,Business,0.8910816553613832,0,8161,0,1,14897
HYD,BLR,53,Night,Leisure,1.1339376751633208,0,5661,3,0,11345
HYD,MAA,71,Night,Business,1.1809634059678258,0,5585,3,1,9421
BLR,BOM,79,Evening,Leisure,1.1750297005505628,0,8049,2,0,11826
HYD,HYD,34,Night,Business,1.2866046484772244,0,7453,3,1,21004
HYD,BOM,46,Morning,Leisure,1.1720001693249777,1,6289,0,0,15846
DEL,HYD,68,Morning,Leisure,1.1619600615692118,0,7761,0,0,12747
BLR,BLR,78,Night,Business,1.214491152241732,0,5752,3,1,8822
